1;0
2;29
3;62
4;92
5;118
6;148
7;181
8;215
9;243
10;279
11;310
12;348
13;379
14;417
15;447
16;478
17;508
18;538
19;570
20;604
21;637
22;671
23;706
24;737
25;766
26;794
27;829
28;865
29;896
30;932
31;966
32;1004
33;1035
34;1073
35;1102
36;1139
37;1177
38;1208
39;1242
40;1274
41;1308
42;1342
43;1375
44;1407
45;1440
46;1468
47;1502
48;1530
49;1565
50;1598
51;1632
52;1663
53;1693
54;1727
55;1759
56;1793
57;1829
58;1861
59;1894
60;1926
61;1962
62;1997
63;2027
64;2058
65;2088
66;2118
67;2156
68;2192
69;2222
70;2255
71;2287
72;2318
73;2350
74;2381
75;2416
76;2448
77;2483
78;2513
79;2549
80;2580
81;2610
82;2643
83;2671
84;2701
85;2733
86;2763
87;2794
88;2832
89;2863
90;2898
91;2927
92;2962
93;2994
94;3029
95;3059
96;3093
97;3124
98;3154
99;3186
100;3218
101;3250
102;3290
103;3322
104;3355
105;3387
106;3416
107;3447
108;3482
109;3515
110;3547
111;3580
112;3613
113;3646
114;3683
115;3714
116;3746
117;3780
118;3815
119;3847
120;3881
121;3912
122;3944
123;3975
124;4009
125;4042
126;4077
127;4112
128;4146
129;4180
130;4214
131;4249
132;4284
133;4317
134;4350
135;4378
136;4411
137;4447
138;4479
139;4511
140;4541
141;4573
142;4606
143;4641
144;4673
145;4707
146;4744
147;4779
148;4812
149;4850
150;4886
151;4917
152;4954
153;4992
154;5024
155;5061
156;5093
157;5123
158;5160
159;5197
160;5228
161;5263
162;5298
163;5333
164;5371
165;5407
166;5444
167;5479
168;5510
169;5541
170;5570
171;5603
172;5635
173;5668
174;5700
175;5737
176;5774
177;5812
178;5844
179;5878
180;5915
181;5948
182;5986
183;6020
184;6051
185;6084
186;6113
187;6144
188;6177
189;6211
190;6248
191;6278
192;6313
193;6344
194;6382
195;6410
196;6447
197;6479
198;6511
199;6543
200;6575
201;6609
202;6643
203;6675
204;6709
205;6740
206;6774
207;6806
208;6834
209;6869
210;6901
211;6934
212;6967
213;6999
214;7037
215;7068
216;7098
217;7132
218;7164
219;7195
220;7229
221;7269
222;7303
223;7337
224;7372
225;7410
226;7442
227;7470
228;7502
229;7533
230;7565
231;7601
232;7633
233;7669
234;7709
235;7744
236;7775
237;7806
238;7846
239;7883
240;7915
241;7948
242;7981
243;8011
244;8046
245;8077
246;8110
247;8148
248;8182
249;8219
250;8253
251;8283
252;8313
253;8347
254;8378
255;8410
256;8447
257;8480
258;8515
259;8547
260;8580
261;8618
262;8649
263;8680
264;8717
265;8753
266;8788
267;8819
268;8857
269;8894
270;8925
271;8963
272;8996
273;9029
274;9065
275;9099
276;9131
277;9166
278;9201
279;9234
280;9268
281;9300
282;9332
283;9365
284;9397
285;9432
286;9464
287;9499
288;9532
289;9568
290;9606
291;9637
292;9668
293;9704
294;9737
295;9768
296;9797
297;9829
298;9863
299;9896
300;9937
301;9972
302;10004
303;10036
304;10066
305;10100
306;10136
307;10168
308;10200
309;10236
310;10272
311;10307
312;10342
313;10377
314;10412
315;10443
316;10475
317;10509
318;10547
319;10586
320;10619
321;10651
322;10688
323;10722
324;10762
325;10795
326;10826
327;10858
328;10890
329;10924
330;10957
331;10991
332;11020
333;11054
334;11086
335;11114
336;11146
337;11177
338;11212
339;11246
340;11283
341;11318
342;11352
343;11388
344;11428
345;11463
346;11500
347;11537
348;11572
349;11607
350;11640
351;11672
352;11706
353;11742
354;11777
355;11809
356;11844
357;11877
358;11912
359;11953
360;11980
361;12011
362;12043
363;12076
364;12107
365;12140
366;12173
367;12203
368;12234
369;12266
370;12301
371;12338
372;12374
373;12405
374;12444
375;12478
376;12513
377;12545
378;12576
379;12612
380;12646
381;12680
382;12711
383;12746
384;12778
385;12810
386;12845
387;12878
388;12913
389;12948
390;12983
391;13019
392;13056
393;13094
394;13126
395;13157
396;13191
397;13222
398;13257
399;13291
400;13325
401;13359
402;13397
403;13428
404;13464
405;13497
406;13533
407;13565
408;13596
409;13628
410;13658
411;13691
412;13721
413;13756
414;13796
415;13836
416;13869
417;13902
418;13939
419;13973
420;14004
421;14036
